DVN_NAME,stacks_involved,total_transactions,avg_median_latency,avg_p95_latency
Canary,1,1,50.0,50.0
Deutsche Telekom,1,1,50.0,50.0
Google Cloud,1,50,67.0,84.0
LayerZero Labs,1,50,67.0,84.0
P2P,1,1,50.0,50.0
