GUID,DVN_ADDR,DVN_NAME,ROLE,DVN_FEE_WEI,DVN_FEE_WEI_CLEAN,DVN_FEE_ETH,DVN_FEE_IF_REQUIRED_ETH,DVN_FEE_IF_OPTIONAL_ETH,DVN_FEE_ETH_NUM,DVN_FEE_IF_REQUIRED_ETH_NUM,DVN_FEE_IF_OPTIONAL_ETH_NUM
0xb82c4ddae276802f541a3514897a2b18613708937396105302cbe2cad58a5a59,0xc2a0c36f5939a14966705c7cec813163faeea1f0,Deutsche Telekom,optional,13270125664110,13270125664110,0.00001327012566411,,0.00001327012566411,1.32701256641e-05,,1.32701256641e-05
0x46149b266396125dbf888c3563ef1dbc98d96845795a75e3851c0e80e59a8d6a,0x554833698ae0fb22ecc90b01222903fd62ca4b47,Canary,required,2322912000000,2322912000000,0.000002322912,0.000002322912,,2.322912e-06,2.322912e-06,
0x46149b266396125dbf888c3563ef1dbc98d96845795a75e3851c0e80e59a8d6a,0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f,P2P,required,2322912000000,2322912000000,0.000002322912,0.000002322912,,2.322912e-06,2.322912e-06,
0x46149b266396125dbf888c3563ef1dbc98d96845795a75e3851c0e80e59a8d6a,0xc2a0c36f5939a14966705c7cec813163faeea1f0,Deutsche Telekom,required,2322912000000,2322912000000,0.000002322912,0.000002322912,,2.322912e-06,2.322912e-06,
0x46149b266396125dbf888c3563ef1dbc98d96845795a75e3851c0e80e59a8d6a,,Unknown DVN,optional,2322912000000,2322912000000,0.000002322912,,0.000002322912,2.322912e-06,,2.322912e-06
0x6369a323196b401994d5c12264669fcf0139cb42217d597e688283885932411b,0x554833698ae0fb22ecc90b01222903fd62ca4b47,Canary,required,128590392696,128590392696,0.000000128590392696,0.000000128590392696,,1.285903926e-07,1.285903926e-07,
0x6369a323196b401994d5c12264669fcf0139cb42217d597e688283885932411b,0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f,P2P,required,128590392696,128590392696,0.000000128590392696,0.000000128590392696,,1.285903926e-07,1.285903926e-07,
0x6369a323196b401994d5c12264669fcf0139cb42217d597e688283885932411b,0xc2a0c36f5939a14966705c7cec813163faeea1f0,Deutsche Telekom,required,128590392696,128590392696,0.000000128590392696,0.000000128590392696,,1.285903926e-07,1.285903926e-07,
0x6369a323196b401994d5c12264669fcf0139cb42217d597e688283885932411b,,Unknown DVN,optional,128590392696,128590392696,0.000000128590392696,,0.000000128590392696,1.285903926e-07,,1.285903926e-07
0x979bf9b8c52f1520ab8fc195640eb032a80b9188d5df26bb229885f81f2373b6,0x554833698ae0fb22ecc90b01222903fd62ca4b47,Canary,required,109084497844,109084497844,0.000000109084497844,0.000000109084497844,,1.090844978e-07,1.090844978e-07,
0x979bf9b8c52f1520ab8fc195640eb032a80b9188d5df26bb229885f81f2373b6,0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f,P2P,required,109084497844,109084497844,0.000000109084497844,0.000000109084497844,,1.090844978e-07,1.090844978e-07,
0x979bf9b8c52f1520ab8fc195640eb032a80b9188d5df26bb229885f81f2373b6,0xc2a0c36f5939a14966705c7cec813163faeea1f0,Deutsche Telekom,required,109084497844,109084497844,0.000000109084497844,0.000000109084497844,,1.090844978e-07,1.090844978e-07,
0x979bf9b8c52f1520ab8fc195640eb032a80b9188d5df26bb229885f81f2373b6,,Unknown DVN,optional,109084497844,109084497844,0.000000109084497844,,0.000000109084497844,1.090844978e-07,,1.090844978e-07
0xc823ade6aca9b6b591f050400bdff9a891831c325f28cab849c8ae82aeab2d23,0x554833698ae0fb22ecc90b01222903fd62ca4b47,Canary,required,2302380000000,2302380000000,0.00000230238,0.00000230238,,2.30238e-06,2.30238e-06,
0xc823ade6aca9b6b591f050400bdff9a891831c325f28cab849c8ae82aeab2d23,0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f,P2P,required,2302380000000,2302380000000,0.00000230238,0.00000230238,,2.30238e-06,2.30238e-06,
0xc823ade6aca9b6b591f050400bdff9a891831c325f28cab849c8ae82aeab2d23,0xc2a0c36f5939a14966705c7cec813163faeea1f0,Deutsche Telekom,required,2302380000000,2302380000000,0.00000230238,0.00000230238,,2.30238e-06,2.30238e-06,
0xc823ade6aca9b6b591f050400bdff9a891831c325f28cab849c8ae82aeab2d23,,Unknown DVN,optional,2302380000000,2302380000000,0.00000230238,,0.00000230238,2.30238e-06,,2.30238e-06
0xebeebb261f501d0a2093f6c6fcddb8ee5f2221060c5181fe89050a4632543dbb,0x554833698ae0fb22ecc90b01222903fd62ca4b47,Canary,required,2302152000000,2302152000000,0.000002302152,0.000002302152,,2.302152e-06,2.302152e-06,
0xebeebb261f501d0a2093f6c6fcddb8ee5f2221060c5181fe89050a4632543dbb,0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f,P2P,required,2302152000000,2302152000000,0.000002302152,0.000002302152,,2.302152e-06,2.302152e-06,
0xebeebb261f501d0a2093f6c6fcddb8ee5f2221060c5181fe89050a4632543dbb,0xc2a0c36f5939a14966705c7cec813163faeea1f0,Deutsche Telekom,required,2302152000000,2302152000000,0.000002302152,0.000002302152,,2.302152e-06,2.302152e-06,
0xebeebb261f501d0a2093f6c6fcddb8ee5f2221060c5181fe89050a4632543dbb,,Unknown DVN,optional,2302152000000,2302152000000,0.000002302152,,0.000002302152,2.302152e-06,,2.302152e-06
0x0436d8dedd136d35dbfc561e073b1507bc69bab589b2a314713f66d6d5fcf99f,0x9e059a54699a285714207b43b055483e78faac25,LayerZero Labs,required,11721192073441,11721192073441,0.000011721192073441,0.000011721192073441,,1.17211920734e-05,1.17211920734e-05,
0x0436d8dedd136d35dbfc561e073b1507bc69bab589b2a314713f66d6d5fcf99f,0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc,Google Cloud,required,11721192073441,11721192073441,0.000011721192073441,0.000011721192073441,,1.17211920734e-05,1.17211920734e-05,
